project_id,week_number,site_dimensions,site_area_sqft,construction_stage,floors_completed,total_floors,property_type,work_pace,weather_condition,lost_days,weather_factor,req_cement_bags,req_steel_kg,req_bricks_nos,req_sand_tons
1002,9,20x30,600,4,1,1,1BHK,Fast_Track,Normal,0,1,12,29.55,1871,2.43
1002,10,20x30,600,5,1,1,1BHK,Fast_Track,Normal,0,1,17,12.17,771,4.8
1002,11,20x30,600,5,1,1,1BHK,Fast_Track,Normal,0,1,14,0.29,18,4.08
1003,1,20x30,600,1,0,2,1BHK,Normal,Light_Rain,1,0.72,18,181.29,0,4.24
1003,2,20x30,600,1,0,2,1BHK,Normal,Normal,0,1,59,573.67,0,13.4
1003,3,20x30,600,1,0,2,1BHK,Normal,Normal,0,1,26,260.93,0,6.1
1003,4,20x30,600,2,0,2,1BHK,Normal,Normal,0,1,51,500.23,431,13.26
1003,5,20x30,600,2,0,2,1BHK,Normal,Normal,0,1,40,394.24,438,10.81
1003,6,20x30,600,3,0,2,1BHK,Normal,Normal,0,1,14,243.62,0,1.67
1003,7,20x30,600,3,0,2,1BHK,Normal,Heatwave,0,0.8,20,335.44,0,2.3
1003,8,20x30,600,3,0,2,1BHK,Normal,Heatwave,0,0.8,20,327.69,0,2.25
1003,9,20x30,600,3,0,2,1BHK,Normal,Normal,0,1,27,458.64,0,3.14
1003,10,20x30,600,3,1,2,1BHK,Normal,Heavy_Rain,2,0.4,8,138.21,0,0.95
1003,11,20x30,600,3,1,2,1BHK,Normal,Light_Rain,1,0.73,23,396.89,0,2.72
1003,12,20x30,600,3,1,2,1BHK,Normal,High_Wind,1,0.7,21,341.71,0,2.34
1003,13,20x30,600,3,1,2,1BHK,Normal,Normal,0,1,29,482.3,0,3.31
1003,14,20x30,600,3,2,2,1BHK,Normal,Light_Rain,1,0.73,10,175.29,0,1.2
1003,15,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,14,131.08,1231,2.37
1003,16,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,18,82.24,2224,3.21
1003,17,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,13,32.83,1950,2.55
1003,18,20x30,600,4,2,2,1BHK,Normal,Light_Rain,1,0.73,8,20.04,1269,1.65
1003,19,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,14,35.02,2218,2.88
1003,20,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,12,28.49,1804,2.34
1003,21,20x30,600,4,2,2,1BHK,Normal,Heavy_Rain,2,0.4,4,11.81,748,0.97
1003,22,20x30,600,4,2,2,1BHK,Normal,Light_Rain,1,0.73,14,33.37,2113,2.75
1003,23,20x30,600,4,2,2,1BHK,Normal,Normal,0,1,11,26.47,1676,2.18
1003,24,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,9,9.14,579,2.34
1003,25,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,11,3.68,234,3.17
1003,26,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,7,0,0,2.23
1003,27,20x30,600,5,2,2,1BHK,Normal,High_Wind,1,0.68,5,0,0,1.47
1003,28,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,10,0,0,2.83
1003,29,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,7,0,0,2.36
1003,30,20x30,600,5,2,2,1BHK,Normal,Normal,0,1,6,0,0,1.63
1004,1,20x30,600,1,0,2,1BHK,Fast_Track,Normal,0,1,59,579.4,0,13.54
1004,2,20x30,600,1,0,2,1BHK,Fast_Track,Normal,0,1,55,538.49,0,12.58
1004,3,20x30,600,2,0,2,1BHK,Fast_Track,Normal,0,1,77,753.33,819,20.59
1004,4,20x30,600,3,0,2,1BHK,Fast_Track,Heavy_Rain,2,0.4,9,152.05,6,1.15
1004,5,20x30,600,3,0,2,1BHK,Fast_Track,Normal,0,1,51,845.47,14,6.06
1004,6,20x30,600,3,1,2,1BHK,Fast_Track,Normal,0,1,32,527.42,0,3.62
1004,7,20x30,600,3,1,2,1BHK,Fast_Track,Light_Rain,1,0.73,22,368.27,0,2.52
1004,8,20x30,600,3,1,2,1BHK,Fast_Track,Normal,0,1,39,667.25,1,4.57
1004,9,20x30,600,3,2,2,1BHK,Fast_Track,Normal,0,1,21,367.52,0,2.52
1004,10,20x30,600,4,2,2,1BHK,Fast_Track,Light_Rain,1,0.73,14,95.98,1430,2.36
1004,11,20x30,600,4,2,2,1BHK,Fast_Track,Heavy_Rain,2,0.4,11,50.42,1575,2.22
1004,12,20x30,600,4,2,2,1BHK,Fast_Track,Light_Rain,1,0.73,25,82.74,3546,4.79
1004,13,20x30,600,4,2,2,1BHK,Fast_Track,Normal,0,1,28,77.8,4222,5.56
1004,14,20x30,600,4,2,2,1BHK,Fast_Track,Normal,0,1,16,40.63,2573,3.34
1004,15,20x30,600,4,2,2,1BHK,Fast_Track,Normal,0,1,12,30.46,1929,2.5
1004,16,20x30,600,5,2,2,1BHK,Fast_Track,Normal,0,1,11,8.72,552,2.82
1004,17,20x30,600,5,2,2,1BHK,Fast_Track,Light_Rain,1,0.72,11,3.03,192,3.22
1004,18,20x30,600,5,2,2,1BHK,Fast_Track,Light_Rain,1,0.72,11,0.87,55,3.25
1004,19,20x30,600,5,2,2,1BHK,Fast_Track,Light_Rain,1,0.72,11,0.22,14,3.18
1004,20,20x30,600,5,2,2,1BHK,Fast_Track,Normal,0,1,9,0.05,3,2.92
1005,1,20x30,600,1,0,3,1BHK,Normal,High_Wind,1,0.68,29,292.79,0,6.27
1005,2,20x30,600,1,0,3,1BHK,Normal,Normal,0,1,92,898.94,0,19.26
1005,3,20x30,600,1,0,3,1BHK,Normal,Normal,0,1,46,442.33,0,9.47
1005,4,20x30,600,2,0,3,1BHK,Normal,Light_Rain,1,0.75,59,578.82,487,15.03
1005,5,20x30,600,2,0,3,1BHK,Normal,Normal,0,1,74,722.57,759,19.57
1005,6,20x30,600,3,0,3,1BHK,Normal,Normal,0,1,15,240.21,9,1.83
1005,7,20x30,600,3,0,3,1BHK,Normal,Light_Rain,1,0.73,19,318.94,3,2.24
1005,8,20x30,600,3,0,3,1BHK,Normal,Normal,0,1,26,442.76,2,3.05
1005,9,20x30,600,3,0,3,1BHK,Normal,High_Wind,1,0.7,13,217.86,0,1.49
1005,10,20x30,600,3,1,3,1BHK,Normal,Normal,0,1,24,411.96,0,2.82
1005,11,20x30,600,3,1,3,1BHK,Normal,Normal,0,1,20,332.57,0,2.28
1005,12,20x30,600,3,1,3,1BHK,Normal,Normal,0,1,19,324.81,0,2.23
1005,13,20x30,600,3,1,3,1BHK,Normal,Normal,0,1,21,348.56,0,2.39
1005,14,20x30,600,3,1,3,1BHK,Normal,Normal,0,1,18,310.62,0,2.13
1005,15,20x30,600,3,2,3,1BHK,Normal,Normal,0,1,19,323.06,0,2.21
1005,16,20x30,600,3,2,3,1BHK,Normal,Normal,0,1,21,346.71,0,2.38
1005,17,20x30,600,3,2,3,1BHK,Normal,Normal,0,1,19,331.15,0,2.27
1005,18,20x30,600,3,2,3,1BHK,Normal,Normal,0,1,20,329.23,0,2.26
1005,19,20x30,600,3,3,3,1BHK,Normal,Light_Rain,1,0.73,9,160.81,0,1.1
1005,20,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,14,127.93,1150,2.25
1005,21,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,18,87.23,2218,3.24
1005,22,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,12,30.29,1838,2.4
1005,23,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,10,26.59,1684,2.19
1005,24,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,11,26.59,1684,2.19
1005,25,20x30,600,4,3,3,1BHK,Normal,Heavy_Rain,2,0.4,4,10.93,692,0.9
1005,26,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,18,41.73,2643,3.43
1005,27,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,11,28.23,1788,2.32
1005,28,20x30,600,4,3,3,1BHK,Normal,Light_Rain,1,0.73,9,20.37,1290,1.68
1005,29,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,14,35.15,2226,2.89
1005,30,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,11,27.08,1715,2.23
1005,31,20x30,600,4,3,3,1BHK,Normal,Light_Rain,1,0.73,8,19.66,1244,1.62
1005,32,20x30,600,4,3,3,1BHK,Normal,Normal,0,1,14,34.25,2170,2.82
1005,33,20x30,600,4,3,3,1BHK,Normal,Light_Rain,1,0.73,6,14.58,923,1.2
1005,34,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,9,9.16,580,2.46
1005,35,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,12,3.37,214,3.25
1005,36,20x30,600,5,3,3,1BHK,Normal,Light_Rain,1,0.72,5,0,0,1.74
1005,37,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,10,0,0,2.78
1005,38,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,8,0,0,2.53
1005,39,20x30,600,5,3,3,1BHK,Normal,Light_Rain,1,0.72,5,0,0,1.63
1005,40,20x30,600,5,3,3,1BHK,Normal,Heatwave,0,0.78,8,0,0,2.3
1005,41,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,10,0,0,3.08
1005,42,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,8,0,0,2.36
1005,43,20x30,600,5,3,3,1BHK,Normal,Normal,0,1,5,0,0,1.69
1006,1,20x30,600,1,0,3,1BHK,Fast_Track,Heavy_Rain,2,0.37,34,337.04,0,7.22
1006,2,20x30,600,1,0,3,1BHK,Fast_Track,Normal,0,1,152,1483.1,0,31.77
1006,3,20x30,600,2,0,3,1BHK,Fast_Track,Light_Rain,1,0.75,83,813.85,904,22.31
1006,4,20x30,600,3,0,3,1BHK,Fast_Track,Heatwave,0,0.8,34,448.84,206,6.9
1006,5,20x30,600,3,0,3,1BHK,Fast_Track,Normal,0,1,51,754.89,145,7.85
1006,6,20x30,600,3,0,3,1BHK,Fast_Track,Normal,0,1,28,467.13,4,3.28
1006,7,20x30,600,3,1,3,1BHK,Fast_Track,Normal,0,1,29,479.41,1,3.29
1006,8,20x30,600,3,1,3,1BHK,Fast_Track,Light_Rain,1,0.73,19,332.84,0,2.28
1006,9,20x30,600,3,1,3,1BHK,Fast_Track,Light_Rain,1,0.73,24,400.83,0,2.75
1006,10,20x30,600,3,2,3,1BHK,Fast_Track,Normal,0,1,38,628.3,0,4.31
1006,11,20x30,600,3,2,3,1BHK,Fast_Track,Normal,0,1,26,440.47,0,3.02
1006,12,20x30,600,3,2,3,1BHK,Fast_Track,Normal,0,1,27,453.93,0,3.11
1006,13,20x30,600,3,3,3,1BHK,Fast_Track,Normal,0,1,19,310.87,0,2.13
1006,14,20x30,600,4,3,3,1BHK,Fast_Track,Light_Rain,1,0.73,13,103.22,1278,2.23
1006,15,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,26,123.9,3399,4.9
1006,16,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,17,42.45,2543,3.32
1006,17,20x30,600,4,3,3,1BHK,Fast_Track,Heatwave,0,0.8,12,31.32,1983,2.58
1006,18,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,19,44.73,2833,3.68
1006,19,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,15,37.44,2370,3.08
1006,20,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,16,38.65,2449,3.18
1006,21,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,15,37.19,2355,3.06
1006,22,20x30,600,4,3,3,1BHK,Fast_Track,High_Wind,1,0.7,10,26.13,1655,2.15
1006,23,20x30,600,4,3,3,1BHK,Fast_Track,Normal,0,1,15,36.44,2308,3
1006,24,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,12,9.69,613,3.16
1006,25,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,16,4.04,256,4.72
1006,26,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,12,0,0,3.46
1006,27,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,10,0,0,3.23
1006,28,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,12,0,0,3.49
1006,29,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,10,0,0,3.22
1006,30,20x30,600,5,3,3,1BHK,Fast_Track,Normal,0,1,8,0,0,2.33
1007,1,20x30,600,1,0,1,Godown,Normal,Normal,0,1,11,142,0,2.92
1007,2,20x30,600,1,0,1,Godown,Normal,Heavy_Rain,2,0.37,8,102.83,0,2.11
1007,3,20x30,600,1,0,1,Godown,Normal,Normal,0,1,22,267.13,0,5.49
1007,4,20x30,600,2,0,1,Godown,Normal,Normal,0,1,28,337.29,119,7.24
1007,5,20x30,600,2,0,1,Godown,Normal,High_Wind,1,0.72,15,186.62,98,4.09
1007,6,20x30,600,3,0,1,Godown,Normal,Heatwave,0,0.8,15,298.58,19,2.24
1007,7,20x30,600,3,0,1,Godown,Normal,Normal,0,1,37,737.77,16,4.55
1007,8,20x30,600,3,0,1,Godown,Normal,Light_Rain,1,0.73,16,335.8,0,1.84
1007,9,20x30,600,3,1,1,Godown,Normal,Light_Rain,1,0.73,15,316.84,0,1.74
1007,10,20x30,600,4,1,1,Godown,Normal,Normal,0,1,19,236.13,852,2.99
1007,11,20x30,600,4,1,1,Godown,Normal,Normal,0,1,20,129.86,1483,3.66
1007,12,20x30,600,4,1,1,Godown,Normal,Heatwave,0,0.8,10,34.87,984,2.14
1007,13,20x30,600,4,1,1,Godown,Normal,Light_Rain,1,0.73,8,25.36,760,1.65
1007,14,20x30,600,5,1,1,Godown,Normal,Heatwave,0,0.78,9,12.66,379,2.21
1007,15,20x30,600,5,1,1,Godown,Normal,High_Wind,1,0.68,11,7.25,217,2.98
1007,16,20x30,600,5,1,1,Godown,Normal,Normal,0,1,9,2.48,75,2.74
1008,1,20x30,600,1,0,1,Godown,Fast_Track,Normal,0,1,26,327.85,0,6.74
1008,2,20x30,600,1,0,1,Godown,Fast_Track,Heatwave,0,0.78,20,252.33,0,5.19
1008,3,20x30,600,2,0,1,Godown,Fast_Track,Normal,0,1,44,540.49,254,11.77
1008,4,20x30,600,3,0,1,Godown,Fast_Track,Normal,0,1,22,458.71,0,2.52
1008,5,20x30,600,3,0,1,Godown,Fast_Track,Normal,0,1,40,832.66,0,4.57
1008,6,20x30,600,3,1,1,Godown,Fast_Track,Heavy_Rain,2,0.4,8,174.94,0,0.96
1008,7,20x30,600,4,1,1,Godown,Fast_Track,Normal,0,1,28,365.93,1150,4.29
1008,8,20x30,600,4,1,1,Godown,Fast_Track,Normal,0,1,29,199.23,2095,5.25
1008,9,20x30,600,4,1,1,Godown,Fast_Track,High_Wind,1,0.7,8,25.08,762,1.65
1008,10,20x30,600,5,1,1,Godown,Fast_Track,Heatwave,0,0.78,16,20.83,633,4.32
1008,11,20x30,600,5,1,1,Godown,Fast_Track,Normal,0,1,19,6.65,202,5.3
1009,1,20x30,600,1,0,2,Godown,Normal,Heatwave,0,0.78,20,248.67,0,4.65
1009,2,20x30,600,1,0,2,Godown,Normal,Light_Rain,1,0.72,39,473.47,0,8.85
1009,3,20x30,600,1,0,2,Godown,Normal,Normal,0,1,39,481.17,0,8.99
1009,4,20x30,600,2,0,2,Godown,Normal,High_Wind,1,0.72,37,455.39,175,9.58
1009,5,20x30,600,2,0,2,Godown,Normal,Normal,0,1,58,699.61,342,15.16
1009,6,20x30,600,3,0,2,Godown,Normal,Light_Rain,1,0.73,10,213.41,0,1.17
1009,7,20x30,600,3,0,2,Godown,Normal,Normal,0,1,29,605.75,0,3.32
1009,8,20x30,600,3,0,2,Godown,Normal,Normal,0,1,20,421.09,0,2.31
1009,9,20x30,600,3,0,2,Godown,Normal,Normal,0,1,21,434.96,0,2.39
1009,10,20x30,600,3,1,2,Godown,Normal,Light_Rain,1,0.73,15,325.44,0,1.78
1009,11,20x30,600,3,1,2,Godown,Normal,Normal,0,1,25,530.23,0,2.91
1009,12,20x30,600,3,1,2,Godown,Normal,Normal,0,1,19,399.16,0,2.19
1009,13,20x30,600,3,1,2,Godown,Normal,Light_Rain,1,0.73,15,317.31,0,1.74
1009,14,20x30,600,3,2,2,Godown,Normal,Light_Rain,1,0.73,13,284.89,0,1.56
1009,15,20x30,600,4,2,2,Godown,Normal,Heatwave,0,0.8,13,157.24,569,1.99
1009,16,20x30,600,4,2,2,Godown,Normal,Light_Rain,1,0.73,17,126.95,1154,2.99
1009,17,20x30,600,4,2,2,Godown,Normal,Normal,0,1,18,80.38,1486,3.39
1009,18,20x30,600,4,2,2,Godown,Normal,Normal,0,1,11,35.25,1071,2.32
1009,19,20x30,600,4,2,2,Godown,Normal,Normal,0,1,11,35.08,1066,2.31
1009,20,20x30,600,4,2,2,Godown,Normal,Normal,0,1,12,34.48,1048,2.27
1009,21,20x30,600,4,2,2,Godown,Normal,Normal,0,1,11,34.62,1052,2.28
1009,22,20x30,600,4,2,2,Godown,Normal,Normal,0,1,12,36.86,1121,2.43
1009,23,20x30,600,4,2,2,Godown,Normal,Heavy_Rain,2,0.4,3,10.17,309,0.67
1009,24,20x30,600,5,2,2,Godown,Normal,Heatwave,0,0.78,8,13.29,404,2.06
1009,25,20x30,600,5,2,2,Godown,Normal,Normal,0,1,15,11.19,340,3.89
1009,26,20x30,600,5,2,2,Godown,Normal,Normal,0,1,7,0.34,10,2.3
1009,27,20x30,600,5,2,2,Godown,Normal,Normal,0,1,8,0.01,1,2.33
1009,28,20x30,600,5,2,2,Godown,Normal,Normal,0,1,7,0,0,2.2
1009,29,20x30,600,5,2,2,Godown,Normal,Normal,0,1,7,0,0,2.15
1009,30,20x30,600,5,2,2,Godown,Normal,Heatwave,0,0.78,4,0,0,1.24
1010,1,20x30,600,1,0,2,Godown,Fast_Track,Normal,0,1,54,660.25,0,12.34
1010,2,20x30,600,1,0,2,Godown,Fast_Track,Normal,0,1,59,728.42,0,13.62
1010,3,20x30,600,2,0,2,Godown,Fast_Track,Normal,0,1,77,941.94,502,20.66
1010,4,20x30,600,3,0,2,Godown,Fast_Track,Normal,0,1,21,443.37,1,2.47
1010,5,20x30,600,3,0,2,Godown,Fast_Track,Normal,0,1,41,855.28,1,4.71
1010,6,20x30,600,3,1,2,Godown,Fast_Track,Normal,0,1,29,627.7,0,3.44
1010,7,20x30,600,3,1,2,Godown,Fast_Track,Light_Rain,1,0.73,22,448.76,0,2.46
1010,8,20x30,600,3,1,2,Godown,Fast_Track,Normal,0,1,39,824.45,0,4.52
1010,9,20x30,600,3,2,2,Godown,Fast_Track,Normal,0,1,21,455.15,0,2.5
1010,10,20x30,600,4,2,2,Godown,Fast_Track,Normal,0,1,18,160.97,1130,3.12
1010,11,20x30,600,4,2,2,Godown,Fast_Track,Normal,0,1,24,113.82,1974,4.54
1010,12,20x30,600,4,2,2,Godown,Fast_Track,Normal,0,1,19,59.29,1734,3.77
1010,13,20x30,600,4,2,2,Godown,Fast_Track,Heatwave,0,0.8,14,43.11,1310,2.84
1010,14,20x30,600,4,2,2,Godown,Fast_Track,Heavy_Rain,2,0.4,8,24.75,752,1.63
1010,15,20x30,600,4,2,2,Godown,Fast_Track,Normal,0,1,20,61.39,1866,4.04
1010,16,20x30,600,5,2,2,Godown,Fast_Track,Normal,0,1,13,18.83,573,3.31
1010,17,20x30,600,5,2,2,Godown,Fast_Track,Light_Rain,1,0.72,12,6.86,208,3.47
1010,18,20x30,600,5,2,2,Godown,Fast_Track,Normal,0,1,15,2.63,81,4.52
1010,19,20x30,600,5,2,2,Godown,Fast_Track,Normal,0,1,10,0,0,2.98
1010,20,20x30,600,5,2,2,Godown,Fast_Track,Normal,0,1,8,0,0,2.33
1011,1,20x30,600,1,0,3,Godown,Normal,Heatwave,0,0.78,34,420.97,0,7.21
1011,2,20x30,600,1,0,3,Godown,Normal,Normal,0,1,85,1043.47,0,17.88
1011,3,20x30,600,1,0,3,Godown,Normal,Normal,0,1,45,545.48,0,9.35
1011,4,20x30,600,2,0,3,Godown,Normal,Normal,0,1,81,988.93,386,20.42
1011,5,20x30,600,2,0,3,Godown,Normal,Light_Rain,1,0.75,44,539.43,287,11.83
1011,6,20x30,600,3,0,3,Godown,Normal,Normal,0,1,22,388.53,61,4.01
1011,7,20x30,600,3,0,3,Godown,Normal,Normal,0,1,31,600.9,30,4.21
1011,8,20x30,600,3,0,3,Godown,Normal,Normal,0,1,19,400.15,0,2.19
1011,9,20x30,600,3,0,3,Godown,Normal,Heatwave,0,0.8,15,328.14,0,1.8
1011,10,20x30,600,3,1,3,Godown,Normal,High_Wind,1,0.7,16,331.96,0,1.82
1011,11,20x30,600,3,1,3,Godown,Normal,Normal,0,1,27,559.98,0,3.07
1011,12,20x30,600,3,1,3,Godown,Normal,Normal,0,1,20,421.46,0,2.31
1011,13,20x30,600,3,1,3,Godown,Normal,Normal,0,1,19,397.74,0,2.18
1011,14,20x30,600,3,1,3,Godown,Normal,Normal,0,1,19,409.65,0,2.25
1011,15,20x30,600,3,2,3,Godown,Normal,Normal,0,1,19,404.75,0,2.22
1011,16,20x30,600,3,2,3,Godown,Normal,Normal,0,1,19,394.8,0,2.16
1011,17,20x30,600,3,2,3,Godown,Normal,Normal,0,1,20,420.67,0,2.31
1011,18,20x30,600,3,2,3,Godown,Normal,Normal,0,1,19,385.07,0,2.11
1011,19,20x30,600,3,3,3,Godown,Normal,Normal,0,1,13,285.82,0,1.57
1011,20,20x30,600,4,3,3,Godown,Normal,Normal,0,1,12,115.71,686,2
1011,21,20x30,600,4,3,3,Godown,Normal,High_Wind,1,0.7,11,61.26,920,2.16
1011,22,20x30,600,4,3,3,Godown,Normal,Heavy_Rain,2,0.4,7,25.57,593,1.32
1011,23,20x30,600,4,3,3,Godown,Normal,Normal,0,1,21,72.35,1925,4.22
1011,24,20x30,600,4,3,3,Godown,Normal,Normal,0,1,11,33.55,1020,2.21
1011,25,20x30,600,4,3,3,Godown,Normal,Normal,0,1,11,33.03,1004,2.17
1011,26,20x30,600,4,3,3,Godown,Normal,Normal,0,1,12,36.22,1101,2.38
1011,27,20x30,600,4,3,3,Godown,Normal,Normal,0,1,11,34.14,1037,2.25
1011,28,20x30,600,4,3,3,Godown,Normal,Normal,0,1,10,32.3,981,2.13
1011,29,20x30,600,4,3,3,Godown,Normal,Normal,0,1,12,35.44,1078,2.33
1011,30,20x30,600,4,3,3,Godown,Normal,Normal,0,1,11,34.76,1056,2.29
1011,31,20x30,600,4,3,3,Godown,Normal,Normal,0,1,10,32.18,978,2.12
1011,32,20x30,600,4,3,3,Godown,Normal,Normal,0,1,12,35.73,1086,2.35
1011,33,20x30,600,4,3,3,Godown,Normal,Light_Rain,1,0.73,6,17.97,546,1.18
1011,34,20x30,600,5,3,3,Godown,Normal,Light_Rain,1,0.72,6,7.86,239,1.68
1011,35,20x30,600,5,3,3,Godown,Normal,Normal,0,1,14,7.79,237,3.96
1011,36,20x30,600,5,3,3,Godown,Normal,Normal,0,1,8,0.13,3,2.34
1011,37,20x30,600,5,3,3,Godown,Normal,Normal,0,1,8,0,1,2.43
1011,38,20x30,600,5,3,3,Godown,Normal,Normal,0,1,7,0,0,2.24
1011,39,20x30,600,5,3,3,Godown,Normal,Normal,0,1,8,0,0,2.38
1011,40,20x30,600,5,3,3,Godown,Normal,Light_Rain,1,0.72,6,0,0,1.79
1011,41,20x30,600,5,3,3,Godown,Normal,Normal,0,1,10,0,0,2.94
1011,42,20x30,600,5,3,3,Godown,Normal,Normal,0,1,7,0,0,2.27
1011,43,20x30,600,5,3,3,Godown,Normal,Normal,0,1,6,0,0,1.68
1012,1,20x30,600,1,0,3,Godown,Fast_Track,Normal,0,1,89,1093.65,0,18.74
1012,2,20x30,600,1,0,3,Godown,Fast_Track,Light_Rain,1,0.72,73,887.13,0,15.2
1012,3,20x30,600,2,0,3,Godown,Fast_Track,Normal,0,1,139,1694.5,751,35.8
1012,4,20x30,600,3,0,3,Godown,Fast_Track,Normal,0,1,19,403.73,3,2.33
1012,5,20x30,600,3,0,3,Godown,Fast_Track,Heavy_Rain,2,0.4,14,300.67,0,1.67
1012,6,20x30,600,3,0,3,Godown,Fast_Track,Light_Rain,1,0.73,35,730.19,1,4.02
1012,7,20x30,600,3,1,3,Godown,Fast_Track,Normal,0,1,42,874.43,1,4.8
1012,8,20x30,600,3,1,3,Godown,Fast_Track,Normal,0,1,26,554.6,0,3.04
1012,9,20x30,600,3,1,3,Godown,Fast_Track,Normal,0,1,26,552.57,0,3.03
1012,10,20x30,600,3,2,3,Godown,Fast_Track,Heatwave,0,0.8,23,484.48,0,2.66
1012,11,20x30,600,3,2,3,Godown,Fast_Track,Light_Rain,1,0.73,23,472.71,0,2.59
1012,12,20x30,600,3,2,3,Godown,Fast_Track,Normal,0,1,38,788.41,0,4.32
1012,13,20x30,600,3,3,3,Godown,Fast_Track,Heavy_Rain,2,0.4,7,160.92,0,0.88
1012,14,20x30,600,4,3,3,Godown,Fast_Track,Normal,0,1,24,310.46,983,3.65
1012,15,20x30,600,4,3,3,Godown,Fast_Track,Light_Rain,1,0.73,19,140.13,1392,3.53
